PESEL_P;RODZAJ_UMOWY;KWOTA_WYN;DATA
69011835847;Z;3900;2020-12-30
64040984342;Z;3900;2020-12-30
92102996385;Z;3900;2020-12-30
65062269554;Z;3900;2020-12-30
86121972349;N;2400;
88041942886;N;3400;
85051854884;N;7900;
83051935981;N;7900;
93102441844;N;6700;
93102441844;D;3800;2020-12-30
65102726971;N;4200;
86020642644;N;4300;
70032088938;N;3500;
70032088938;D;3600;2020-12-30
90062769575;N;3600;
71061441846;N;2700;
82073131533;N;2700;
85072324768;N;2700;
81121126293;N;3400;
69041135469;N;3400;
