PESEL_P;PESEL_D;IMIE_D;NAUKA
85110491427;03250616164;Marzena;T
85110491427;12301543124;Katarzyna;T
93030467664;15240418324;Paulina;T
65080726169;03300183547;Dominika;T
68030911338;92032234317;Mateusz;N
92101745348;16221966784;Zuzanna;N
92101745348;18261968623;Karina;N
92101745348;20302836785;Patrycja;N
85082776283;03250348669;Anna;T
73121291246;99110623696;Igor;T
82102325269;00302579941;Katarzyna;T
69041664769;03261576295;Miko³aj;T
64011396167;91021792625;Julia;N
70051687383;03293077612;Andrzej;T
90031054682;09212768683;Maja;T
90031054682;12251861329;Joanna;T
67092123228;94060951875;Krzysztof;N
84062649946;03250442233;Jakub;T
84062649946;09270269229;Beata;T
65030393782;94022298244;Joanna;N
77051656467;05242676521;Paulina;T
88050113822;07272013877;Andrzej;T
75041965137;99052475346;Zuzanna;T
67122333566;93112932978;Przemys³aw;T
84120881631;07231019283;Marzena;T
84120881631;10311079541;Beata;T
84090389287;02321264376;Miko³aj;T
66082687425;00302373248;Paulina;T
67053192988;96010517962;Dominika;T
74061069461;95032544367;Anna;N
74050288521;01312251449;Milena;T
76111842954;03322129132;£ukasz;T
76111842954;98101192128;Katarzyna;T
76111842954;98031559282;Julia;T
80021874684;04290633724;Maja;T
88051446626;08241455799;Andrzej;T
79121152547;12230734769;Joanna;T
66031123721;05261344522;Patrycja;T
77122896424;99121325857;Krzysztof;N
67011446399;05232887771;Jakub;T
65060244326;04290272277;Adam;T
84011644183;02232079933;Przemys³aw;T
65021721426;97110221982;Zuzanna;T
67090211468;98051524853;Miko³aj;T
80060926195;09260727229;Marzena;T
80060926195;01280731291;£ukasz;T
80060926195;01240165847;Anna;T
80060926195;02210141759;Igor;T
80060926195;01310688728;Karina;N
80041228744;06272826186;Joanna;T
64121164869;98101277841;Julia;T
88050313246;06261437144;Dominika;T
80031587529;04320448441;Katarzyna;T
67091485145;96100961251;Miko³aj;T
78090652281;04303021247;Milena;T
77080322924;10261937146;Paulina;T
77080322924;01250884484;Joanna;T
74060118494;00322932225;Dominika;T
87071998876;07261117571;Andrzej;T
78072681674;00230423259;Krzysztof;T
75051168432;01282844568;Paulina;T
75051168432;01240479319;Mateusz;T
66050395578;88111585265;Marzena;N
90062397918;09220827796;Jakub;T
93021428159;12241478146;Anna;T
93021428159;16261044848;Beata;T
93011186665;11241212882;Paulina;T
68123062361;97101468143;Maja;N
72100517654;00212428236;£ukasz;T
83090958978;05270336943;Izabella;T
76100196251;96081236825;Joanna;T
74010384162;96080566925;Patrycja;N
93100857843;15241613421;Julia;T
81080247826;04241395734;Miko³aj;T
66042334187;00250155268;Maja;T
66042334187;03281073985;Paulina;T
79051931478;03273144691;Andrzej;T
75110367282;03240461558;Miko³aj;T
68010622162;01320727369;Milena;T
68080915726;99072261569;Katarzyna;T
64101677981;97092265462;Dominika;T
66022214236;94051876488;Paulina;N
66022214236;03272614483;Zuzanna;T
64062337188;86121897848;Joanna;N
90090646383;11281264845;Beata;T
64010166813;87080348116;Krzysztof;N
76012549178;06281224528;Paulina;T
72090457228;04271714242;Marzena;T
69021199278;94010821881;Anna;N
64102354751;91111382473;Igor;N
85080211379;04230171952;Jakub;T
85080211379;10252499934;Adam;T
78102768418;01220514113;Przemys³aw;T
68082254924;97081075515;Dominik;T
67032597584;99010172524;Izabella;T
88091649375;06293099666;Paulina;T
75090255162;98083126186;Patrycja;N
67031265446;00290198564;Katarzyna;N
65102791885;03211185911;Dominik;T
75011089285;00232799217;Andrzej;T
74020126323;04301165846;Joanna;T
94081291565;15252717262;Dominika;N
67062989362;99030567519;£ukasz;T
69111812346;05281222529;Paulina;T
82012842746;00290536463;Julia;T
74032584869;95041325148;Anna;N
76101444674;07260486542;Karina;T
78070765787;01261754129;Maja;T
81101732186;05312886924;Zuzanna;T
83010471745;00221418815;Igor;T
94052845449;12262341724;Joanna;T
84103192679;06261087387;Milena;T
64051532682;84040396893;Jakub;N
93011944186;13262813521;Julia;T
70041159823;01242811647;Marzena;T
92051999978;15243029594;Miko³aj;N
72061248792;01290357623;Paulina;T
85061297949;07241259358;Krzysztof;T
78061564322;99011457837;Mateusz;T
94112537835;20252097513;Adam;N
91031593845;10222111938;Krzysztof;T
94032129569;13302523728;Katarzyna;T
94032129569;16272433422;Joanna;T
70070946544;91122167287;Dominika;T
78030949921;99081585777;Andrzej;T
69122313588;04253122766;Paulina;T
85030775616;07290946968;Beata;T
73102438826;98041518341;Anna;T
66081333525;02271635835;Andrzej;T
83020615821;00230461679;£ukasz;T
81042942848;04241395284;Paulina;T
81042942848;04292284287;Joanna;T
66022751346;00221286483;Milena;T
84102722244;05300477819;Jakub;T
84102722244;09301145869;Julia;T
85091465341;03221289425;Zuzanna;T
71010364882;94032641395;Przemys³aw;N
71010364882;03230345527;Maja;T
67071678963;99102817728;Izabella;T
86042099347;05321583496;Mateusz;T
78010753526;00312084723;Marzena;T
84061519989;02290731992;Adam;T
84061519989;05222283262;Beata;T
67101697322;05242811393;Miko³aj;T
89112165823;08282971867;Paulina;T
69093025752;02290612822;Anna;T
75091174374;02292991954;£ukasz;T
81060448546;03230143217;Andrzej;T
74071761968;02291391144;Paulina;T
74071761968;95032377129;Joanna;N
68042496188;02300917433;Igor;T
86083064322;06211653718;Krzysztof;T
92111321761;13240489964;Joanna;T
92071567193;15300939226;Dominika;T
92071567193;19271174488;Zuzanna;N
71120432349;96032643186;Joanna;T
73080242468;93080191586;Julia;N
71063076512;99090433393;Miko³aj;T
71063076512;98041482219;Igor;N
90040645127;09291246443;Paulina;T
92112346679;15220628145;Joanna;T
86011953913;05281263294;Jakub;T
86011953913;13250465552;Krzysztof;T
64062339869;04240474445;Joanna;T
64020335955;91060294528;Marzena;N
64020335955;01242528882;Maja;N
68120516849;98072056522;Paulina;T
76020348763;06260461766;Katarzyna;T
87110451146;06211328768;Milena;T
74012748689;95052546262;Anna;N
93061029583;11250728253;Krzysztof;T
92012733685;14302695893;Andrzej;T
69011835847;96102511843;Joanna;T
69011835847;02210339949;Zuzanna;T
64040984342;89011989377;Miko³aj;N
92102996385;16241874261;Dominika;T
65062269554;97112474692;Przemys³aw;T
86121972349;06242089713;Jakub;T
88041942886;06251797869;Paulina;T
85051854884;09270234645;Paulina;T
85051854884;12210443966;Joanna;T
83051935981;00261664159;Miko³aj;T
65102726971;94120383217;Jakub;N
86020642644;03322129323;Paulina;T
86020642644;14210564858;Przemys³aw;T
70032088938;95010598182;Katarzyna;N
90062769575;11231712169;Beata;T
71061441846;97032179329;Anna;T
85072324768;11241931466;Marzena;T
81121126293;10252559151;Mateusz;T
69041135469;96032113717;Miko³aj;T
