PESEL_P;NAZWISKO;IMIE;STAN_RODZINY
69111812346;Lipiñska;Anna;P
82012842746;Sroka;Anna;P
74032584869;Kaczmarek;Kamila;P
76101444674;Chmielewski;Tomasz;P
78070765787;Katafiasz;Paulina;P
81101732186;Hinz;Anna;P
83010471745;Marciniec;Agata;P
94052845449;Wlekliñska;Anna;P
84103192679;Baczyñski;Maciej;P
64051532682;Z³otowska;Dominika;P
93011944186;Mazurkiewicz;Weronika;P
70041159823;Czarnecka;Alicja;P
92051999978;Czapczyk;Marcin;P
72061248792;Bednarek;Piotr;P
85061297949;Nowicka;Agata;P
78061564322;Witt;Agnieszka;P
94112537835;Wajer;Adrian;P
91031593845;Erdmañska;Anna;P
94032129569;Go³dyn;Kamila;P
70070946544;Kierna;Aleksandra;P
78030949921;Kierna;Sandra;P
69122313588;Olszewska;Katarzyna;P
85030775616;Bysikiewicz;Igor;P
73102438826;Cegielska;Dominika;P
66081333525;KaŸmierczak;Kinga;P
83020615821;Gaca;Magdalena;P
81042942848;Baliñska;Anna;P
66022751346;B³aszyk;Marta;P
84100192894;Chmielarski;Micha³;P
84102722244;Szyñska;Julia;P
85091465341;Fac;Ró¿a;P
71010364882;Majchrzak;Dominika;P
67071678963;Wysocka;Oliwia;P
86042099347;Gierszewska;Zuzanna;P
78010753526;Siminska;Joanna;P
84061519989;Michalska;Stefania;P
67101697322;Wegner;Patrycja;P
89112165823;Jedwabiñska;Joanna;P
94111634588;Kêsikowska;Marta;P
69093025752;Karolak;Maciej;P
75091174374;Hak;Bartosz;P
81060448546;Wyskiel;Nathalie;P
74071761968;Sadurska;Agnieszka;P
68042496188;Mieszkowska;Monika;P
86083064322;Bielecka;Marta;P
92111321761;Ha³ko;Milena;P
92071567193;Goœciñski;Daniel;P
71120432349;Huse;Monika;P
73080242468;Jakubowska;Anna;P
71063076512;Wo³oszynek;Wojciech;P
90040645127;Czeme¿yñska;Monika;P
92112346679;Jaroch;Kamil;P
86011953913;Huet;Micha³;P
64062339869;Pardua;Kamila;P
64020335955;Go³êbiewski;Marcin;P
68120516849;Balcer;Hanna;P
76020348763;Krasiñska;Agata;P
87110451146;Sadurska;Katarzyna;P
74012748689;Malesz;Joanna;P
93061029583;Czajkowska;Adrianna;P
92012733685;Dampc;Marta;P
69011835847;Zawadzka;Agata;P
64040984342;Chojnacka;Martyna;P
92102996385;Kiedrowska;Joanna;P
65062269554;Tyczyñski;Miko³aj;S
86121972349;Kabaciñska;Joanna;P
88041942886;Sierko;Ewelina;P
85051854884;Karaœ;Marta;P
83051935981;Olczak;Dagmara;P
93102441844;KaŸmierczak;Anna;P
65102726971;Ciemiñski;Pawe³;P
86020642644;Kuczma;Dominika;P
70032088938;Chojnacki;Micha³;P
90062769575;Marciniak;Wojciech;P
71061441846;Stró¿;Angelika;P
82073131533;Konitz;Robert;P
85072324768;Maækowska;Natalia;P
81121126293;Ciêpiel;Micha³;P
69041135469;Koz³owska;Karolina;S
