KLASA	PESEL	Biologia-R	Chemia-R	Fizyka-R	Geografia-R	Historia-R	Informatyka-R	Angielski-P	Angielski-R	Francuski-P	Francuski-R	Hiszpañski-P	Hiszpañski-R	Niemiecki-P	Niemiecki-R	Matematyka-P	Matematyka-R	Polski-P	Polski-R	WOS-R
H	94011110436							96.00				97.00	73.00			58.00		69.00	65.00	
H	94013113642							96.00				83.00	61.00			68.00		69.00	58.00	
H	94020211283							88.00				90.00	65.00			50.00		81.00	58.00	
H	94021306625							90.00				84.00	68.00			58.00		76.00	88.00	
H	94030804224				85.00				95.00			100.00				82.00		73.00	88.00	
H	94031410644							96.00					45.00			74.00		61.00	83.00	
H	94040607118							94.00	79.00				79.00			64.00		74.00	53.00	
H	94042912726				38.00			87.00	69.00				72.00			56.00		54.00	60.00	
H	94060604247	62.00	35.00					97.00				92.00	52.00			56.00		67.00		
H	94062703166				50.00			92.00				84.00	63.00			54.00		60.00		
H	94063002080				82.00			100.00				100.00				100.00	66.00	73.00	85.00	
H	94081102166							96.00					79.00			56.00		81.00	83.00	
H	94082703588					66.00		94.00	93.00				83.00			78.00		90.00	100.00	
H	94082901146				75.00			99.00	83.00			100.00				78.00	30.00	79.00	80.00	
H	94082905447							96.00				98.00	96.00			44.00		69.00		
H	94083000868					24.00		100.00	63.00				61.00			40.00		76.00	58.00	16.00
H	94090909307					72.00		98.00	76.00				77.00			64.00		79.00	75.00	46.00
H	94091301085							96.00	71.00				70.00			40.00		37.00	55.00	
H	94092207960								89.00			96.00				56.00		57.00	63.00	
H	94100706007								74.00			98.00				66.00		56.00		
H	94102604723										73.00	98.00	82.00			68.00		50.00	70.00	
H	94103100907	18.00	12.00					70.00				58.00				58.00		43.00		
H	94110205866								78.00			100.00				96.00	40.00	80.00		
H	94121203482							90.00				92.00	71.00			38.00		47.00	58.00	
H	94121709025				53.00			98.00	66.00				67.00			62.00		71.00	63.00	
H	95011300625				52.00			98.00				93.00	70.00			58.00	36.00	41.00		
H	95032804489	43.00	43.00					95.00					70.00			62.00		59.00		
